City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aitape,-3.1374,142.3475,78.71,88,100,8.97,PG,PG
1,ushuaia,-54.8,-68.3,60.46,41,75,14.97,AR,AR
2,mahibadhoo,3.7833,72.9667,80.51,76,12,6.8,MV,MV
3,san patricio,28.017,-97.5169,63.86,89,100,4.56,US,US
4,khatanga,71.9667,102.5,16.5,96,100,7.02,RU,RU
5,ingham,42.6,-84.3833,39.38,59,100,8.05,US,US
6,pevek,69.7008,170.3133,-0.99,97,100,8.19,RU,RU
7,salalah,17.0151,54.0924,78.89,69,20,2.3,OM,OM
8,bluff,-46.6,168.3333,50.81,64,92,13.04,NZ,NZ
9,new norfolk,-42.7826,147.0587,53.71,70,98,2.95,AU,AU
10,itarema,-2.9248,-39.9167,87.75,49,21,19.17,BR,BR
11,los llanos de aridane,28.6585,-17.9182,67.75,83,20,16.11,ES,ES
12,hobart,-42.8794,147.3294,54.05,89,99,8.05,AU,AU
13,nayoro,44.3506,142.4578,24.58,95,100,9.44,JP,JP
14,kapaa,22.0752,-159.319,70.12,77,0,8.05,US,US
15,vila franca do campo,37.7167,-25.4333,56.19,58,99,20.78,PT,PT
16,plettenberg bay,-34.0527,23.3716,62.98,61,91,17.22,ZA,ZA
17,punta arenas,-53.15,-70.9167,62.62,44,40,33.38,CL,CL
18,chuy,-33.6971,-53.4616,70.16,85,100,10.89,UY,UY
19,puerto ayora,-0.7393,-90.3518,75.16,91,90,7.0,EC,EC
20,hermanus,-34.4187,19.2345,63.81,61,30,23.67,ZA,ZA
21,ponta do sol,32.6667,-17.1,70.0,76,76,12.57,PT,PT
22,namatanai,-3.6667,152.4333,79.21,83,100,3.6,PG,PG
23,petropavlovsk-kamchatskiy,53.0452,158.6483,5.59,92,20,4.47,RU,RU
24,cape town,-33.9258,18.4232,69.12,55,7,7.0,ZA,ZA
25,georgetown,5.4112,100.3354,81.23,87,20,0.0,MY,MY
26,bethel,41.3712,-73.414,40.55,61,0,0.0,US,US
27,hovd,48.0056,91.6419,-0.18,72,93,2.59,MN,MN
28,asau,46.4333,26.4,31.28,98,81,0.29,RO,RO
29,marmora,44.4583,7.094,37.74,84,86,3.98,IT,IT
30,bima,-8.4667,118.7167,76.75,91,100,3.11,ID,ID
31,moron,-34.6534,-58.6198,81.97,43,0,4.52,AR,AR
